Case Daily Trends - United States,,
Date generated: Mon Nov 09 2020 14:41:07 GMT+0800 ,,
,,
Date,New Cases,7-Day Moving Avg
Nov 7 2020,93811,99320
Nov 6 2020,132830,98614
Nov 5 2020,117988,93888
Nov 4 2020,106537,89912
Nov 3 2020,88427,86350
Nov 2 2020,86190,84029
Nov 1 2020,69459,80800
Oct 31 2020,88871,79906
Oct 30 2020,99750,79188
Oct 29 2020,90155,76785
Oct 28 2020,81599,74532
Oct 27 2020,72183,71969
Oct 26 2020,63589,70289
Oct 25 2020,63195,69785
Oct 24 2020,83851,67476
Oct 23 2020,82929,63092
Oct 22 2020,74380,61256
Oct 21 2020,63656,59699
Oct 20 2020,60426,59143
Oct 19 2020,60061,57291
Oct 18 2020,47035,55370
Oct 17 2020,53157,55232
Oct 16 2020,70078,55261
Oct 15 2020,63486,53579
Oct 14 2020,59761,52350
Oct 13 2020,47459,51392
Oct 12 2020,46614,50181
Oct 11 2020,46069,49172
Oct 10 2020,53363,47844
Oct 9 2020,58302,47268
Oct 8 2020,54887,46105
Oct 7 2020,53051,44984
Oct 6 2020,38984,43883
Oct 5 2020,39548,43852
Oct 4 2020,36778,43044
Oct 3 2020,49327,42980
Oct 2 2020,50160,43058
Oct 1 2020,47046,43119
Sep 30 2020,45342,42446
Sep 29 2020,38764,41870
Sep 28 2020,33891,43373
Sep 27 2020,36335,44152
Sep 26 2020,49871,44307
Sep 25 2020,50584,43263
Sep 24 2020,42340,43014
Sep 23 2020,41310,43245
Sep 22 2020,49285,43281
Sep 21 2020,39345,41141
Sep 20 2020,37417,40474
Sep 19 2020,42561,40207
Sep 18 2020,48845,39902
Sep 17 2020,43952,39502
Sep 16 2020,41566,38573
Sep 15 2020,34305,37335
Sep 14 2020,34676,35763
Sep 13 2020,35549,34544
Sep 12 2020,40423,34371
Sep 11 2020,46045,35083
Sep 10 2020,37451,35562
Sep 9 2020,32899,36594
Sep 8 2020,23301,37567
Sep 7 2020,26146,40417
Sep 6 2020,34337,41265
Sep 5 2020,45405,41722
Sep 4 2020,49400,41563
Sep 3 2020,44671,40885
Sep 2 2020,39711,41193
Sep 1 2020,43249,42148
Aug 31 2020,32087,41268
Aug 30 2020,37532,41409
Aug 29 2020,44292,41573
Aug 28 2020,44656,41712
Aug 27 2020,46830,42011
Aug 26 2020,46393,41731
Aug 25 2020,37086,41746
Aug 24 2020,33076,42065
Aug 23 2020,38679,42909
Aug 22 2020,45265,43368
Aug 21 2020,46754,44714
Aug 20 2020,44864,46139
Aug 19 2020,46500,47273
Aug 18 2020,39318,48674
Aug 17 2020,38986,50991
Aug 16 2020,41893,51210
Aug 15 2020,54686,52181
Aug 14 2020,56729,52168
Aug 13 2020,52799,52927
Aug 12 2020,56307,53361
Aug 11 2020,55540,52986
Aug 10 2020,40522,52193
Aug 9 2020,48690,53506
Aug 8 2020,54590,53347
Aug 7 2020,62042,53970
Aug 6 2020,55836,54907
Aug 5 2020,53685,56651
Aug 4 2020,49988,58401
Aug 3 2020,49716,59811
Aug 2 2020,47576,60487
Aug 1 2020,58947,62519
Jul 31 2020,68605,63324
Jul 30 2020,68042,64211
Jul 29 2020,65935,64808
Jul 28 2020,59862,65404
Jul 27 2020,54448,65856
Jul 26 2020,61795,66332
Jul 25 2020,64582,66533
Jul 24 2020,74818,66960
Jul 23 2020,72219,66945
Jul 22 2020,70106,66920
Jul 21 2020,63028,66534
Jul 20 2020,57777,66240
Jul 19 2020,63201,66394
Jul 18 2020,67574,66004
Jul 17 2020,74710,65339
Jul 16 2020,72045,64135
Jul 15 2020,67404,62308
Jul 14 2020,60971,61932
Jul 13 2020,58858,60408
Jul 12 2020,60469,58618
Jul 11 2020,62918,56519
Jul 10 2020,66281,54790
Jul 9 2020,59260,54063
Jul 8 2020,64771,52634
Jul 7 2020,50304,51146
Jul 6 2020,46329,50195
Jul 5 2020,45774,48716
Jul 4 2020,50815,48045
Jul 3 2020,61190,47172
Jul 2 2020,49258,44802
Jul 1 2020,54357,43564
Jun 30 2020,43644,41179
Jun 29 2020,35979,39846
Jun 28 2020,41075,38515
Jun 27 2020,44703,36592
Jun 26 2020,44602,34836
Jun 25 2020,40588,33067
Jun 24 2020,37667,31244
Jun 23 2020,34313,29125
Jun 22 2020,26657,28279
Jun 21 2020,27616,27125
Jun 20 2020,32411,26316
Jun 19 2020,32218,25324
Jun 18 2020,27828,23910
Jun 17 2020,22834,23041
Jun 16 2020,28392,22705
Jun 15 2020,18577,21132
Jun 14 2020,21957,20992
Jun 13 2020,25468,20415
Jun 12 2020,22317,20950
Jun 11 2020,21744,21910
Jun 10 2020,20486,21740
Jun 9 2020,17376,20910
Jun 8 2020,17598,21993
Jun 7 2020,17919,21591
Jun 6 2020,29214,22771
Jun 5 2020,29034,21962
Jun 4 2020,20555,20404
Jun 3 2020,14676,20511
Jun 2 2020,24955,21226
Jun 1 2020,14790,20008
May 31 2020,26177,21460
May 30 2020,23553,19912
May 29 2020,18123,20295
May 28 2020,21304,21172
May 27 2020,19680,21061
May 26 2020,16429,21515
May 25 2020,24958,22512
May 24 2020,15342,22443
May 23 2020,26229,22149
May 22 2020,24268,22969
May 21 2020,20522,22785
May 20 2020,22860,23737
May 19 2020,23405,23453
May 18 2020,24481,23176
May 17 2020,13284,22265
May 16 2020,31967,23767
May 15 2020,22977,23008
May 14 2020,27191,23440
May 13 2020,20869,23964
May 12 2020,21467,24321
May 11 2020,18106,24440
May 10 2020,23792,24588
May 9 2020,26660,25441
May 8 2020,25996,25888
May 7 2020,30861,26513
May 6 2020,23366,26645
May 5 2020,22303,26952
May 4 2020,19138,27180
May 3 2020,29763,27785
May 2 2020,29794,27712
May 1 2020,30369,28193
Apr 30 2020,31787,28123
Apr 29 2020,25512,28888
Apr 28 2020,23901,28937
Apr 27 2020,23371,29307
Apr 26 2020,29256,30178
Apr 25 2020,33161,29712
Apr 24 2020,29873,29249
Apr 23 2020,37144,29124
Apr 22 2020,25858,27984
Apr 21 2020,26490,28170
Apr 20 2020,29468,28155
Apr 19 2020,25995,27396
Apr 18 2020,29916,27846
Apr 17 2020,29002,28328
Apr 16 2020,29164,28935
Apr 15 2020,27158,29298
Apr 14 2020,26385,29923
Apr 13 2020,24156,29239
Apr 12 2020,29145,31994
Apr 11 2020,33288,31554
Apr 10 2020,33251,31181
Apr 9 2020,31705,31412
Apr 8 2020,31534,30616
Apr 7 2020,21597,29975
Apr 6 2020,43438,30112
Apr 5 2020,26065,27141
Apr 4 2020,30683,26024
Apr 3 2020,34864,24403
Apr 2 2020,26135,21989
Apr 1 2020,27043,20672
Mar 31 2020,22562,18806
Mar 30 2020,22635,17028
Mar 29 2020,18251,15357
Mar 28 2020,19332,14010
Mar 27 2020,17965,12082
Mar 26 2020,16916,10019
Mar 25 2020,13987,8285
Mar 24 2020,10115,6775
Mar 23 2020,10934,5730
Mar 22 2020,8821,4276
Mar 21 2020,5836,3192
Mar 20 2020,3528,2407
Mar 19 2020,4777,1941
Mar 18 2020,3419,1318
Mar 17 2020,2797,869
Mar 16 2020,755,511
Mar 15 2020,1237,435
Mar 14 2020,338,279
Mar 13 2020,267,240
Mar 12 2020,414,209
Mar 11 2020,278,159
Mar 10 2020,290,122
Mar 9 2020,225,84
Mar 8 2020,147,56
Mar 7 2020,64,35
Mar 6 2020,47,27
Mar 5 2020,66,21
Mar 4 2020,20,11
Mar 3 2020,25,9
Mar 2 2020,23,5
Mar 1 2020,6,2
Feb 29 2020,8,1
Feb 28 2020,0,0
Feb 27 2020,1,0
Feb 26 2020,0,0
Feb 25 2020,0,0
Feb 24 2020,0,0
Feb 23 2020,0,0
Feb 22 2020,0,0
Feb 21 2020,2,0
Feb 20 2020,0,0
Feb 19 2020,0,0
Feb 18 2020,0,0
Feb 17 2020,0,0
Feb 16 2020,0,0
Feb 15 2020,0,0
Feb 14 2020,0,0
Feb 13 2020,1,0
Feb 12 2020,0,0
Feb 11 2020,1,0
Feb 10 2020,0,0
Feb 9 2020,0,0
Feb 8 2020,0,0
Feb 7 2020,0,0
Feb 6 2020,0,0
Feb 5 2020,0,0
Feb 4 2020,0,0
Feb 3 2020,3,0
Feb 2 2020,0,0
Feb 1 2020,1,0
Jan 31 2020,2,0
Jan 30 2020,0,0
Jan 29 2020,0,0
Jan 28 2020,0,0
Jan 27 2020,0,0
Jan 26 2020,3,0
Jan 25 2020,0,0
Jan 24 2020,1,0
Jan 23 2020,0,0
Jan 22 2020,1,0
